Mail ID,Author,Subject,TimeStamp,Content,Vendor,Item,Buyer,Amount,Quality,Weapon,Type,Vendor Type
00896333,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-14 16:18:35,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Orchte for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Rocket Launcher,Orchte,125000,Sliced,Rocket Launcher,Heavy,Weapon
00898601,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-14 19:21:02,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Ravoet Nimile for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Rocket Launcher,Ravoet Nimile,125000,Sliced,Rocket Launcher,Heavy,Weapon
00898923,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-14 20:52:48,"Vendor: MM Weapons has sold MM | Enhanced Tusken Rifle to Debbie Antilees for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Tusken Rifle,Debbie Antilees,175000,Enhanced,Tusken Rifle,Rifle,Weapon
00898925,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-14 20:52:56,"Vendor: MM Weapons has sold MM | Enhanced E11 Rifle to Debbie Antilees for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced E11 Rifle,Debbie Antilees,175000,Enhanced,E11 Rifle,Rifle,Weapon
00906333,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-15 23:31:09,"Vendor: MM Weapons has sold MM | Enhanced 87 SAC EE3 Carbine to Loewenbiss for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced 87 SAC EE3 Carbine,Loewenbiss,175000,Enhanced,87 SAC EE3 Carbine,,Weapon
00906338,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-15 23:32:12,"Vendor: MM Weapons has sold MM | Sliced DL44 XT to Loewenbiss for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced DL44 XT,Loewenbiss,125000,Sliced,DL44 XT,Pistol,Weapon
00907505,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-16 03:23:27,"Vendor: MM Weapons has sold MM | Enhanced EE3 Carbine to Sevv Adesi for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced EE3 Carbine,Sevv Adesi,175000,Enhanced,EE3 Carbine,Carbine,Weapon
00915292,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-17 19:10:06,"Vendor: MM Weapons has sold MM | Enhanced Max Output Republic Blaster to Cylte Lian for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Max Output Republic Blaster,Cylte Lian,200000,Enhanced,Max Output Republic Blaster,,Weapon
00926897,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-19 17:16:26,"Vendor: MM Weapons has sold MM | Enhanced 89 SAC EE3 Carbine to Goldman Sachs for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced 89 SAC EE3 Carbine,Goldman Sachs,175000,Enhanced,89 SAC EE3 Carbine,,Weapon
00927712,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-19 18:56:31,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Sio Kolb for 2500 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,Rodian Milk (Booster Blue)     25,Sio Kolb,2500,,,,Other
00929123,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-19 22:52:33,"Vendor: MM Weapons has sold MM | Sliced Gaderiffi Baton to Jundra for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Gaderiffi Baton,Jundra,125000,Sliced,Gaderiffi Baton,One Hand,Weapon
00930151,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-20 02:12:34,"Vendor: MM Weapons has sold MM | Enhanced EE3 Carbine to Derised Morphix for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced EE3 Carbine,Derised Morphix,175000,Enhanced,EE3 Carbine,Carbine,Weapon
00930760,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-20 05:48:09,"Vendor: A-A Sporting Goods has sold Berserker Rifle to A-A Builder for 2000000 credits.
The sale took place at Nym Protectorate, on Lok.",A-A Sporting Goods,Berserker Rifle,A-A Builder,2000000,,,,Other
00932487,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-20 14:19:38,"Vendor: MM Weapons has sold MM | Enhanced Light Lightning Rifle to Voldaen Cofax for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Light Lightning Rifle,Voldaen Cofax,175000,Enhanced,Light Lightning Rifle,Rifle,Weapon
00943630,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-22 02:36:10,"Vendor: MM Weapons has sold MM | Clearance T21 Rifle to Zaknafeyn Storm for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance T21 Rifle,Zaknafeyn Storm,60000,Clearance,T21 Rifle,Rifle,Weapon
00943636,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-22 02:37:00,"Vendor: MM Weapons has sold MM | Sliced DL44 XT to Death-awaits-u for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced DL44 XT,Death-awaits-u,125000,Sliced,DL44 XT,Pistol,Weapon
00947346,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-22 15:29:08,"Vendor: MM Weapons has sold MM | Enhanced E11 Rifle to Saggitariut Jefferspin for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced E11 Rifle,Saggitariut Jefferspin,175000,Enhanced,E11 Rifle,Rifle,Weapon
00951589,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-23 05:10:37,"Vendor: MM Weapons has sold MM | Enhanced EE3 Carbine to Debbie Antilees for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced EE3 Carbine,Debbie Antilees,175000,Enhanced,EE3 Carbine,Carbine,Weapon
00951593,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-23 05:10:52,"Vendor: MM Weapons has sold MM | Enhanced 76 SAC Republic Blaster to Debbie Antilees for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced 76 SAC Republic Blaster,Debbie Antilees,200000,Enhanced,76 SAC Republic Blaster,,Weapon
00955238,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-23 22:14:38,"Vendor: MM Weapons has sold MM | 79 SAC Enhanced DL44 XT to Larohs Falle for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | 79 SAC Enhanced DL44 XT,Larohs Falle,200000,Enhanced,SAC Enhanced DL44 XT,,Weapon
00956155,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-24 00:52:16,"Vendor: MM Weapons has sold MM | Enhanced E11 Carbine to Rakarr Myssk for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced E11 Carbine,Rakarr Myssk,175000,Enhanced,E11 Carbine,Carbine,Weapon
00957068,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-24 02:54:50,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to Larryy Fish for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Long Vibro Axe,Larryy Fish,125000,Sliced,Long Vibro Axe,Polearm,Weapon
00957070,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-24 02:54:55,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Nodnarb Jorkins for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Rocket Launcher,Nodnarb Jorkins,125000,Sliced,Rocket Launcher,Heavy,Weapon
00958753,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-24 11:37:38,"Vendor: Storage has sold Junk... F to Dwight Schrute for 3297000 credits.
The sale took place at North Crimson Flats, on Talus.",Storage,Junk... F,Dwight Schrute,3297000,,,,Other
00966302,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-25 23:04:30,"Vendor: MM Weapons has sold MM | Enhanced Republic Blaster to Korrido Ligek for 200000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced Republic Blaster,Korrido Ligek,200000,Enhanced,Republic Blaster,Pistol,Weapon
00970784,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:48:16,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Modota for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Modota,2500,,,,Other
00970786,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:48:20,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Modota for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Modota,2500,,,,Other
00970788,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:48:23,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Modota for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Modota,2500,,,,Other
00970790,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:48:26,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Modota for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Modota,2500,,,,Other
00970796,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:49:02,"Vendor: MM Weapons has sold MM | Enhanced 98 SAC E11 Rifle to Modota for 175000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced 98 SAC E11 Rifle,Modota,175000,Enhanced,98 SAC E11 Rifle,,Weapon
00970798,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-26 22:49:05,"Vendor: MM Weapons has sold MM | Enhanced 84 SAC E11 Rifle to Modota for 175000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced 84 SAC E11 Rifle,Modota,175000,Enhanced,84 SAC E11 Rifle,,Weapon
00975909,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-27 23:04:03,"Vendor: MM Weapons has sold MM | Enhanced 95 SAC EE3 Carbine to ASARYAN LaHAINE for 175000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced 95 SAC EE3 Carbine,ASARYAN LaHAINE,175000,Enhanced,95 SAC EE3 Carbine,,Weapon
